Compound Name	Proportion	Count	Total	Score	Truth	Rank
IS benzoic acid d5	0.8533	11050	12950	Logistic	True Positive	5
IS citric acid d4	0.6102	1800	2950	Logistic	True Positive	5
IS D-fructose 13C6 1(M)	0.0526	150	2850	Logistic	True Positive	5
IS D-fructose 13C6 2	0.2045	450	2200	Logistic	True Positive	5
IS L-alanine d7	0.9927	13650	13750	Logistic	True Positive	5
IS octanoic acid d15	0.8425	10700	12700	Logistic	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Logistic	True Positive	5
IS L-tryptophan d5 2	0.7344	10869	14800	Logistic	True Positive	5
N-formylglycine 2	0.871	1350	1550	Logistic	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	1	1500	1500	Logistic	True Positive	5
D-ribose	0.8678	3211	3700	Logistic	True Positive	5
D-xylose 2	0.6796	3398	5000	Logistic	True Positive	5
D-arabinose	0.4111	1850	4500	Logistic	True Positive	5
D-lyxose 2	0.0099	103	10400	Logistic	True Positive	5
lactose 2	0	0	1600	Logistic	True Positive	5
ribitol	0.735	3528	4800	Logistic	True Positive	5
4-hydroxyphenylacetic acid	0.7949	1550	1950	Logistic	True Positive	5
citric acid	0.7825	10016	12800	Logistic	True Positive	5
D-fructose major	0.8032	10562	13150	Logistic	True Positive	5
D-fructose minor	0.5175	1449	2800	Logistic	True Positive	5
D-galactose	0.5902	1800	3050	Logistic	True Positive	5
D-glucose major	0.4037	3371	8350	Logistic	True Positive	5
D-glucose minor	0.5479	8300	15150	Logistic	True Positive	5
D-mannose	0.797	1873	2350	Logistic	True Positive	5
ethanolamine	0.6964	8531	12250	Logistic	True Positive	5
glycine	0.5362	4182	7800	Logistic	True Positive	5
L-alanine	0.9903	11686	11800	Logistic	True Positive	5
L-aspartic acid	0.5312	850	1600	Logistic	True Positive	5
L-cysteine	0.7559	1474	1950	Logistic	True Positive	5
L-glutamic acid	0.819	4750	5800	Logistic	True Positive	5
L-glutamine major	0.6821	10334	15150	Logistic	True Positive	5
L-glutamine minor 2	0.8397	10035	11950	Logistic	True Positive	5
L-isoleucine	0.8507	14291	16800	Logistic	True Positive	5
L-leucine	0.6265	7737	12350	Logistic	True Positive	5
L-lysine	0.4545	750	1650	Logistic	True Positive	5
L-methionine	0.6615	2150	3250	Logistic	True Positive	5
L-ornithine	0.6984	3143	4500	Logistic	True Positive	5
L-phenylalanine	0.9197	14440	15700	Logistic	True Positive	5
L-proline	0.1416	524	3700	Logistic	True Positive	5
L-pyroglutamic acid	0.401	6356	15850	Logistic	True Positive	5
L-serine	0.8343	16143	19350	Logistic	True Positive	5
L-threonine	0.5317	10580	19900	Logistic	True Positive	5
L-tyrosine major	0.4462	2900	6500	Logistic	True Positive	5
L-tyrosine minor	0.6404	1761	2750	Logistic	True Positive	5
L-valine	0.9755	3268	3350	Logistic	True Positive	5
lactic acid	1	1650	1650	Logistic	True Positive	5
oxalic acid	0.8241	6840	8300	Logistic	True Positive	5
sucrose	0.9467	3550	3750	Logistic	True Positive	5
myristic acid	0	0	500	Logistic	True Negative	1
2-hydroxybutyric acid	0	0	850	Logistic	True Negative	1
uracil	0	0	1250	Logistic	True Negative	1
uric acid 1	0	0	300	Logistic	True Negative	1
urea	0.0904	122	1350	Logistic	True Negative	1
isocitric acid	0	0	400	Logistic	True Negative	1
galactonic acid	0	0	100	Logistic	True Negative	1
2-ketocaproic acid	0	0	1300	Logistic	True Negative	1
glycine-d5 deuterated	0	0	2000	Logistic	True Negative	1
catechol	0	0	1600	Logistic	True Negative	1
glyceric acid	0	0	1400	Logistic	True Negative	1
citramalic acid	0	0	450	Logistic	True Negative	1
trans-aconitic acid	0	0	450	Logistic	True Negative	1
fumaric acid	0	0	750	Logistic	True Negative	1
oleic acid	0	0	250	Logistic	True Negative	1
hippuric acid 2	0	0	500	Logistic	True Negative	1
linoleic acid	0	0	200	Logistic	True Negative	1
stearic acid	0.4	100	250	Logistic	True Negative	1
Creatinine	0	0	600	Logistic	True Negative	1
D-mannitol	0	0	1700	Logistic	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Logistic	True Negative	1
norvaline 2	0	0	800	Logistic	True Negative	1
7-methylxanthine	0	0	300	Logistic	True Negative	1
xylitol	0	0	450	Logistic	True Negative	1
iminodiacetic acid 2	0	0	1400	Logistic	True Negative	1
myo-inositol	0	0	150	Logistic	True Negative	1
scyllo-inositol	0	0	300	Logistic	True Negative	1
arabitol	0	0	600	Logistic	True Negative	1
palmitic acid	0	0	50	Logistic	True Negative	1
galactitol	0	0	1250	Logistic	True Negative	1
D-gluconic acid 3	0	0	100	Logistic	True Negative	1
erythritol	0	0	1300	Logistic	True Negative	1
D-threitol	0	0	1700	Logistic	True Negative	1
D-saccharic acid	0	0	250	Logistic	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Logistic	True Negative	1
IS benzoic acid d5	0	0	9000	Logistic	True Negative	1
IS citric acid d4	0	0	4000	Logistic	True Negative	1
IS D-fructose 13C6 1(M)	4e-04	5	12200	Logistic	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Logistic	True Negative	1
IS L-alanine d7	0.0743	342	4600	Logistic	True Negative	1
IS octanoic acid d15	0	0	9150	Logistic	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Logistic	True Negative	1
IS L-tryptophan d5 2	0.016	56	3500	Logistic	True Negative	1
N-formylglycine 2	0	0	1050	Logistic	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Logistic	True Negative	1
D-ribose	0	0	200	Logistic	True Negative	1
D-xylose 2	0	0	100	Logistic	True Negative	1
D-arabinose	0	0	100	Logistic	True Negative	1
D-lyxose 2	0	0	2550	Logistic	True Negative	1
lactose 2	0	0	50	Logistic	True Negative	1
ribitol	0	0	150	Logistic	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Logistic	True Negative	1
citric acid	0	0	400	Logistic	True Negative	1
D-fructose major	0.0457	48	1050	Logistic	True Negative	1
D-fructose minor	0	0	950	Logistic	True Negative	1
D-galactose	0	0	700	Logistic	True Negative	1
D-glucose major	0	0	800	Logistic	True Negative	1
D-glucose minor	0.0667	50	750	Logistic	True Negative	1
D-mannose	0	0	550	Logistic	True Negative	1
ethanolamine	0.0255	42	1650	Logistic	True Negative	1
glycine	0	0	550	Logistic	True Negative	1
L-aspartic acid	0	0	200	Logistic	True Negative	1
L-cysteine	0	0	300	Logistic	True Negative	1
L-glutamic acid	0	0	350	Logistic	True Negative	1
L-glutamine minor 2	0	0	450	Logistic	True Negative	1
L-isoleucine	0	0	650	Logistic	True Negative	1
L-leucine	0	0	400	Logistic	True Negative	1
L-lysine	0	0	650	Logistic	True Negative	1
L-methionine	0	0	350	Logistic	True Negative	1
L-phenylalanine	0	0	250	Logistic	True Negative	1
L-proline	0	0	650	Logistic	True Negative	1
L-pyroglutamic acid	0	0	250	Logistic	True Negative	1
L-serine	0	0	100	Logistic	True Negative	1
L-threonine	0	0	100	Logistic	True Negative	1
L-tyrosine major	0	0	850	Logistic	True Negative	1
L-tyrosine minor	0	0	350	Logistic	True Negative	1
lactic acid	0	0	100	Logistic	True Negative	1
oxalic acid	0	0	800	Logistic	True Negative	1
myristic acid	0	0	500	Logistic	True Negative	5
2-hydroxybutyric acid	0	0	850	Logistic	True Negative	5
uracil	0	0	1250	Logistic	True Negative	5
uric acid 1	0	0	300	Logistic	True Negative	5
urea	0.9985	1348	1350	Logistic	True Negative	5
isocitric acid	0	0	400	Logistic	True Negative	5
galactonic acid	0	0	100	Logistic	True Negative	5
2-ketocaproic acid	0	0	1300	Logistic	True Negative	5
glycine-d5 deuterated	0	0	2000	Logistic	True Negative	5
catechol	0	0	1600	Logistic	True Negative	5
glyceric acid	0	0	1400	Logistic	True Negative	5
citramalic acid	0	0	450	Logistic	True Negative	5
trans-aconitic acid	0	0	450	Logistic	True Negative	5
fumaric acid	0	0	750	Logistic	True Negative	5
oleic acid	0	0	250	Logistic	True Negative	5
hippuric acid 2	0	0	500	Logistic	True Negative	5
linoleic acid	0.25	50	200	Logistic	True Negative	5
stearic acid	0.4	100	250	Logistic	True Negative	5
Creatinine	0	0	600	Logistic	True Negative	5
D-mannitol	0	0	1700	Logistic	True Negative	5
DL-3-aminoisobutyric acid 2	0	0	400	Logistic	True Negative	5
norvaline 2	0.2125	170	800	Logistic	True Negative	5
7-methylxanthine	0	0	300	Logistic	True Negative	5
xylitol	0	0	450	Logistic	True Negative	5
iminodiacetic acid 2	0	0	1400	Logistic	True Negative	5
myo-inositol	0	0	150	Logistic	True Negative	5
scyllo-inositol	0	0	300	Logistic	True Negative	5
arabitol	0	0	600	Logistic	True Negative	5
palmitic acid	0	0	50	Logistic	True Negative	5
galactitol	0	0	1250	Logistic	True Negative	5
D-gluconic acid 3	0	0	100	Logistic	True Negative	5
erythritol	0	0	1300	Logistic	True Negative	5
D-threitol	0	0	1700	Logistic	True Negative	5
D-saccharic acid	0	0	250	Logistic	True Negative	5
D-galacturonic acid 1(M)	0	0	1500	Logistic	True Negative	5
IS benzoic acid d5	0.0111	100	9000	Logistic	True Negative	5
IS citric acid d4	0.0145	58	4000	Logistic	True Negative	5
IS D-fructose 13C6 1(M)	0.0125	153	12200	Logistic	True Negative	5
IS D-fructose 13C6 2	0.0242	319	13200	Logistic	True Negative	5
IS L-alanine d7	0.1848	850	4600	Logistic	True Negative	5
IS octanoic acid d15	0.0109	100	9150	Logistic	True Negative	5
IS L-tryptophan d5 1	0	0	3550	Logistic	True Negative	5
IS L-tryptophan d5 2	0.2134	747	3500	Logistic	True Negative	5
N-formylglycine 2	0	0	1050	Logistic	True Negative	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Logistic	True Negative	5
D-ribose	0	0	200	Logistic	True Negative	5
D-xylose 2	0	0	100	Logistic	True Negative	5
D-arabinose	0	0	100	Logistic	True Negative	5
D-lyxose 2	0	0	2550	Logistic	True Negative	5
lactose 2	0	0	50	Logistic	True Negative	5
ribitol	0	0	150	Logistic	True Negative	5
4-hydroxyphenylacetic acid	0	0	2900	Logistic	True Negative	5
citric acid	0	0	400	Logistic	True Negative	5
D-fructose major	0.0476	50	1050	Logistic	True Negative	5
D-fructose minor	0	0	950	Logistic	True Negative	5
D-galactose	0	0	700	Logistic	True Negative	5
D-glucose major	0	0	800	Logistic	True Negative	5
D-glucose minor	0.2667	200	750	Logistic	True Negative	5
D-mannose	0	0	550	Logistic	True Negative	5
ethanolamine	0.6218	1026	1650	Logistic	True Negative	5
glycine	0	0	550	Logistic	True Negative	5
L-aspartic acid	0	0	200	Logistic	True Negative	5
L-cysteine	0	0	300	Logistic	True Negative	5
L-glutamic acid	0	0	350	Logistic	True Negative	5
L-glutamine minor 2	0	0	450	Logistic	True Negative	5
L-isoleucine	0.1538	100	650	Logistic	True Negative	5
L-leucine	0.18	72	400	Logistic	True Negative	5
L-lysine	0	0	650	Logistic	True Negative	5
L-methionine	0	0	350	Logistic	True Negative	5
L-phenylalanine	0	0	250	Logistic	True Negative	5
L-proline	0.0246	16	650	Logistic	True Negative	5
L-pyroglutamic acid	0	0	250	Logistic	True Negative	5
L-serine	0	0	100	Logistic	True Negative	5
L-threonine	0	0	100	Logistic	True Negative	5
L-tyrosine major	0	0	850	Logistic	True Negative	5
L-tyrosine minor	0.2857	100	350	Logistic	True Negative	5
lactic acid	1	100	100	Logistic	True Negative	5
oxalic acid	0	0	800	Logistic	True Negative	5
phosphoric acid	0.6356	8009	12600	Log Normal	True Positive	1
propylene glycol	0.8377	1843	2200	Log Normal	True Positive	1
myristic acid	0	0	10700	Log Normal	True Positive	1
2-hydroxybutyric acid	0.3065	4000	13050	Log Normal	True Positive	1
uracil	0.4684	1944	4150	Log Normal	True Positive	1
uric acid 1	0.3169	507	1600	Log Normal	True Positive	1
urea	0.033	137	4150	Log Normal	True Positive	1
isocitric acid	0.1212	206	1700	Log Normal	True Positive	1
galactonic acid	0.36	666	1850	Log Normal	True Positive	1
2-ketocaproic acid	0	0	2350	Log Normal	True Positive	1
glycine-d5 deuterated	0	0	1600	Log Normal	True Positive	1
catechol	0.6364	1400	2200	Log Normal	True Positive	1
glyceric acid	0.5697	8517	14950	Log Normal	True Positive	1
citramalic acid	0	0	3000	Log Normal	True Positive	1
trans-aconitic acid	0.4417	2650	6000	Log Normal	True Positive	1
fumaric acid	0.1361	347	2550	Log Normal	True Positive	1
oleic acid	0.1247	187	1500	Log Normal	True Positive	1
hippuric acid 2	0.0919	147	1600	Log Normal	True Positive	1
linoleic acid	0.0793	119	1500	Log Normal	True Positive	1
stearic acid	0.4393	659	1500	Log Normal	True Positive	1
Creatinine	0.0647	941	14550	Log Normal	True Positive	1
D-mannitol	0.2509	3400	13550	Log Normal	True Positive	1
DL-3-aminoisobutyric acid 2	0	0	1950	Log Normal	True Positive	1
norvaline 2	0.0225	72	3200	Log Normal	True Positive	1
7-methylxanthine	0.3864	1024	2650	Log Normal	True Positive	1
xylitol	0.0013	18	13900	Log Normal	True Positive	1
glycerol	0.0746	932	12500	Log Normal	True Positive	1
carbonate ion	0.1981	2120	10700	Log Normal	True Positive	1
iminodiacetic acid 2	0.0533	80	1500	Log Normal	True Positive	1
myo-inositol	0.6923	8100	11700	Log Normal	True Positive	1
scyllo-inositol	0.2406	3007	12500	Log Normal	True Positive	1
arabitol	0.0048	10	2100	Log Normal	True Positive	1
palmitic acid	0.4404	2114	4800	Log Normal	True Positive	1
galactitol	0.5755	6589	11450	Log Normal	True Positive	1
D-gluconic acid 3	0.4664	1026	2200	Log Normal	True Positive	1
erythritol	0.1715	2513	14650	Log Normal	True Positive	1
D-threitol	0.0141	197	14000	Log Normal	True Positive	1
D-saccharic acid	0.5938	950	1600	Log Normal	True Positive	1
D-galacturonic acid 1(M)	0.1187	184	1550	Log Normal	True Positive	1
IS benzoic acid d5	0.0226	293	12950	Log Normal	True Positive	1
IS citric acid d4	0	0	2950	Log Normal	True Positive	1
IS D-fructose 13C6 1(M)	0.0382	109	2850	Log Normal	True Positive	1
IS D-fructose 13C6 2	0.0227	50	2200	Log Normal	True Positive	1
IS L-alanine d7	0.8168	11231	13750	Log Normal	True Positive	1
IS octanoic acid d15	0	0	12700	Log Normal	True Positive	1
IS L-tryptophan d5 1	2e-04	1	4400	Log Normal	True Positive	1
IS L-tryptophan d5 2	0.0955	1413	14800	Log Normal	True Positive	1
N-formylglycine 2	0.2716	421	1550	Log Normal	True Positive	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	1500	Log Normal	True Positive	1
D-ribose	0.0395	146	3700	Log Normal	True Positive	1
D-xylose 2	0.2682	1341	5000	Log Normal	True Positive	1
D-arabinose	0.3673	1653	4500	Log Normal	True Positive	1
D-lyxose 2	0	0	10400	Log Normal	True Positive	1
lactose 2	0	0	1600	Log Normal	True Positive	1
ribitol	0.1319	633	4800	Log Normal	True Positive	1
4-hydroxyphenylacetic acid	0.0159	31	1950	Log Normal	True Positive	1
citric acid	0.0024	31	12800	Log Normal	True Positive	1
D-fructose major	0.0056	73	13150	Log Normal	True Positive	1
D-fructose minor	0.0629	176	2800	Log Normal	True Positive	1
D-galactose	0.1508	460	3050	Log Normal	True Positive	1
D-glucose major	0.0911	761	8350	Log Normal	True Positive	1
D-glucose minor	0.0165	250	15150	Log Normal	True Positive	1
D-mannose	0.2157	507	2350	Log Normal	True Positive	1
ethanolamine	0.0384	471	12250	Log Normal	True Positive	1
glycine	0.1967	1534	7800	Log Normal	True Positive	1
L-alanine	0.5317	6274	11800	Log Normal	True Positive	1
L-aspartic acid	0	0	1600	Log Normal	True Positive	1
L-cysteine	0.0169	33	1950	Log Normal	True Positive	1
L-glutamic acid	0.4959	2876	5800	Log Normal	True Positive	1
L-glutamine major	0.182	2758	15150	Log Normal	True Positive	1
L-glutamine minor 2	0.1142	1365	11950	Log Normal	True Positive	1
L-isoleucine	0.0529	889	16800	Log Normal	True Positive	1
L-leucine	0	0	12350	Log Normal	True Positive	1
L-lysine	0.0321	53	1650	Log Normal	True Positive	1
L-methionine	0.6615	2150	3250	Log Normal	True Positive	1
L-ornithine	0.2111	950	4500	Log Normal	True Positive	1
L-phenylalanine	0.6673	10477	15700	Log Normal	True Positive	1
L-proline	0	0	3700	Log Normal	True Positive	1
L-pyroglutamic acid	0.0032	50	15850	Log Normal	True Positive	1
L-serine	0.1472	2848	19350	Log Normal	True Positive	1
L-threonine	0.4705	9363	19900	Log Normal	True Positive	1
L-tyrosine major	0.0457	297	6500	Log Normal	True Positive	1
L-tyrosine minor	0.0662	182	2750	Log Normal	True Positive	1
L-valine	0.4493	1505	3350	Log Normal	True Positive	1
lactic acid	0.4297	709	1650	Log Normal	True Positive	1
oxalic acid	0.6642	5513	8300	Log Normal	True Positive	1
sucrose	0.444	1665	3750	Log Normal	True Positive	1
phosphoric acid	0.9325	11750	12600	Log Normal	True Positive	5
propylene glycol	1	2200	2200	Log Normal	True Positive	5
myristic acid	0.7794	8340	10700	Log Normal	True Positive	5
2-hydroxybutyric acid	0.8948	11677	13050	Log Normal	True Positive	5
uracil	0.7807	3240	4150	Log Normal	True Positive	5
uric acid 1	0.445	712	1600	Log Normal	True Positive	5
urea	0.6747	2800	4150	Log Normal	True Positive	5
isocitric acid	0.5906	1004	1700	Log Normal	True Positive	5
galactonic acid	0.7308	1352	1850	Log Normal	True Positive	5
2-ketocaproic acid	0.7651	1798	2350	Log Normal	True Positive	5
glycine-d5 deuterated	0.3969	635	1600	Log Normal	True Positive	5
catechol	0.9545	2100	2200	Log Normal	True Positive	5
glyceric acid	0.99	14800	14950	Log Normal	True Positive	5
citramalic acid	0.7667	2300	3000	Log Normal	True Positive	5
trans-aconitic acid	0.5663	3398	6000	Log Normal	True Positive	5
fumaric acid	0.7988	2037	2550	Log Normal	True Positive	5
oleic acid	0.9627	1444	1500	Log Normal	True Positive	5
hippuric acid 2	0.2188	350	1600	Log Normal	True Positive	5
linoleic acid	0.8607	1291	1500	Log Normal	True Positive	5
stearic acid	0.9333	1400	1500	Log Normal	True Positive	5
Creatinine	0.6915	10062	14550	Log Normal	True Positive	5
D-mannitol	0.777	10529	13550	Log Normal	True Positive	5
DL-3-aminoisobutyric acid 2	0.8959	1747	1950	Log Normal	True Positive	5
norvaline 2	0.9391	3005	3200	Log Normal	True Positive	5
7-methylxanthine	0.717	1900	2650	Log Normal	True Positive	5
xylitol	0.7122	9900	13900	Log Normal	True Positive	5
glycerol	0.908	11350	12500	Log Normal	True Positive	5
carbonate ion	0.8968	9596	10700	Log Normal	True Positive	5
iminodiacetic acid 2	0.8333	1250	1500	Log Normal	True Positive	5
myo-inositol	0.8902	10415	11700	Log Normal	True Positive	5
scyllo-inositol	0.9008	11260	12500	Log Normal	True Positive	5
arabitol	0.8333	1750	2100	Log Normal	True Positive	5
palmitic acid	0.8498	4079	4800	Log Normal	True Positive	5
galactitol	0.8384	9600	11450	Log Normal	True Positive	5
D-gluconic acid 3	0.8314	1829	2200	Log Normal	True Positive	5
erythritol	0.686	10050	14650	Log Normal	True Positive	5
D-threitol	0.8286	11600	14000	Log Normal	True Positive	5
D-saccharic acid	0.795	1272	1600	Log Normal	True Positive	5
D-galacturonic acid 1(M)	0.8316	1289	1550	Log Normal	True Positive	5
IS benzoic acid d5	0.8337	10797	12950	Log Normal	True Positive	5
IS citric acid d4	0.6102	1800	2950	Log Normal	True Positive	5
IS D-fructose 13C6 1(M)	0.0526	150	2850	Log Normal	True Positive	5
IS D-fructose 13C6 2	0.2045	450	2200	Log Normal	True Positive	5
IS L-alanine d7	0.9927	13650	13750	Log Normal	True Positive	5
IS octanoic acid d15	0.8688	11034	12700	Log Normal	True Positive	5
IS L-tryptophan d5 1	1	4400	4400	Log Normal	True Positive	5
IS L-tryptophan d5 2	0.8176	12100	14800	Log Normal	True Positive	5
N-formylglycine 2	0.871	1350	1550	Log Normal	True Positive	5
6-hydroxy-alpha-methylnaphthaleneacetic acid	1	1500	1500	Log Normal	True Positive	5
D-ribose	0.9524	3524	3700	Log Normal	True Positive	5
D-xylose 2	0.7082	3541	5000	Log Normal	True Positive	5
D-arabinose	0.4111	1850	4500	Log Normal	True Positive	5
D-lyxose 2	0.0039	41	10400	Log Normal	True Positive	5
lactose 2	0	0	1600	Log Normal	True Positive	5
ribitol	0.5746	2758	4800	Log Normal	True Positive	5
4-hydroxyphenylacetic acid	0.7949	1550	1950	Log Normal	True Positive	5
citric acid	0.8005	10246	12800	Log Normal	True Positive	5
D-fructose major	0.8441	11100	13150	Log Normal	True Positive	5
D-fructose minor	0.5518	1545	2800	Log Normal	True Positive	5
D-galactose	0.6289	1918	3050	Log Normal	True Positive	5
D-glucose major	0.4115	3436	8350	Log Normal	True Positive	5
D-glucose minor	0.5479	8300	15150	Log Normal	True Positive	5
D-mannose	0.8451	1986	2350	Log Normal	True Positive	5
ethanolamine	0.8407	10298	12250	Log Normal	True Positive	5
glycine	0.5673	4425	7800	Log Normal	True Positive	5
L-alanine	0.9996	11795	11800	Log Normal	True Positive	5
L-aspartic acid	0.5312	850	1600	Log Normal	True Positive	5
L-cysteine	0.7667	1495	1950	Log Normal	True Positive	5
L-glutamic acid	0.8681	5035	5800	Log Normal	True Positive	5
L-glutamine major	0.689	10438	15150	Log Normal	True Positive	5
L-glutamine minor 2	0.8419	10061	11950	Log Normal	True Positive	5
L-isoleucine	0.8762	14720	16800	Log Normal	True Positive	5
L-leucine	0.8866	10950	12350	Log Normal	True Positive	5
L-lysine	0.4448	734	1650	Log Normal	True Positive	5
L-methionine	0.6615	2150	3250	Log Normal	True Positive	5
L-ornithine	0.8011	3605	4500	Log Normal	True Positive	5
L-phenylalanine	0.9325	14641	15700	Log Normal	True Positive	5
L-proline	0.8762	3242	3700	Log Normal	True Positive	5
L-pyroglutamic acid	0.4889	7749	15850	Log Normal	True Positive	5
L-serine	0.8794	17017	19350	Log Normal	True Positive	5
L-threonine	0.556	11064	19900	Log Normal	True Positive	5
L-tyrosine major	0.4434	2882	6500	Log Normal	True Positive	5
L-tyrosine minor	0.6887	1894	2750	Log Normal	True Positive	5
L-valine	0.9642	3230	3350	Log Normal	True Positive	5
lactic acid	1	1650	1650	Log Normal	True Positive	5
oxalic acid	0.8373	6950	8300	Log Normal	True Positive	5
sucrose	0.9467	3550	3750	Log Normal	True Positive	5
myristic acid	0	0	500	Log Normal	True Negative	1
2-hydroxybutyric acid	0	0	850	Log Normal	True Negative	1
uracil	0	0	1250	Log Normal	True Negative	1
uric acid 1	0	0	300	Log Normal	True Negative	1
urea	0.0748	101	1350	Log Normal	True Negative	1
isocitric acid	0	0	400	Log Normal	True Negative	1
galactonic acid	0	0	100	Log Normal	True Negative	1
2-ketocaproic acid	0	0	1300	Log Normal	True Negative	1
glycine-d5 deuterated	0	0	2000	Log Normal	True Negative	1
catechol	0	0	1600	Log Normal	True Negative	1
glyceric acid	0	0	1400	Log Normal	True Negative	1
citramalic acid	0	0	450	Log Normal	True Negative	1
trans-aconitic acid	0	0	450	Log Normal	True Negative	1
fumaric acid	0	0	750	Log Normal	True Negative	1
oleic acid	0	0	250	Log Normal	True Negative	1
hippuric acid 2	0	0	500	Log Normal	True Negative	1
linoleic acid	0	0	200	Log Normal	True Negative	1
stearic acid	0.228	57	250	Log Normal	True Negative	1
Creatinine	0	0	600	Log Normal	True Negative	1
D-mannitol	0	0	1700	Log Normal	True Negative	1
DL-3-aminoisobutyric acid 2	0	0	400	Log Normal	True Negative	1
norvaline 2	0	0	800	Log Normal	True Negative	1
7-methylxanthine	0	0	300	Log Normal	True Negative	1
xylitol	0	0	450	Log Normal	True Negative	1
iminodiacetic acid 2	0	0	1400	Log Normal	True Negative	1
myo-inositol	0	0	150	Log Normal	True Negative	1
scyllo-inositol	0	0	300	Log Normal	True Negative	1
arabitol	0	0	600	Log Normal	True Negative	1
palmitic acid	0	0	50	Log Normal	True Negative	1
galactitol	0	0	1250	Log Normal	True Negative	1
D-gluconic acid 3	0	0	100	Log Normal	True Negative	1
erythritol	0	0	1300	Log Normal	True Negative	1
D-threitol	0	0	1700	Log Normal	True Negative	1
D-saccharic acid	0	0	250	Log Normal	True Negative	1
D-galacturonic acid 1(M)	0	0	1500	Log Normal	True Negative	1
IS benzoic acid d5	0	0	9000	Log Normal	True Negative	1
IS citric acid d4	0	0	4000	Log Normal	True Negative	1
IS D-fructose 13C6 1(M)	3e-04	4	12200	Log Normal	True Negative	1
IS D-fructose 13C6 2	0	0	13200	Log Normal	True Negative	1
IS L-alanine d7	0.092	423	4600	Log Normal	True Negative	1
IS octanoic acid d15	0	0	9150	Log Normal	True Negative	1
IS L-tryptophan d5 1	0	0	3550	Log Normal	True Negative	1
IS L-tryptophan d5 2	0.126	441	3500	Log Normal	True Negative	1
N-formylglycine 2	0	0	1050	Log Normal	True Negative	1
6-hydroxy-alpha-methylnaphthaleneacetic acid	0	0	200	Log Normal	True Negative	1
D-ribose	0	0	200	Log Normal	True Negative	1
D-xylose 2	0	0	100	Log Normal	True Negative	1
D-arabinose	0	0	100	Log Normal	True Negative	1
D-lyxose 2	0	0	2550	Log Normal	True Negative	1
lactose 2	0	0	50	Log Normal	True Negative	1
ribitol	0	0	150	Log Normal	True Negative	1
4-hydroxyphenylacetic acid	0	0	2900	Log Normal	True Negative	1
citric acid	0	0	400	Log Normal	True Negative	1
D-fructose major	0	0	1050	Log Normal	True Negative	1
D-fructose minor	0	0	950	Log Normal	True Negative	1
D-galactose	0	0	700	Log Normal	True Negative	1
D-glucose major	0	0	800	Log Normal	True Negative	1
D-glucose minor	0.0667	50	750	Log Normal	True Negative	1
D-mannose	0	0	550	Log Normal	True Negative	1
ethanolamine	0.0303	50	1650	Log Normal	True Negative	1
glycine	0	0	550	Log Normal	True Negative	1
L-aspartic acid	0	0	200	Log Normal	True Negative	1
L-cysteine	0	0	300	Log Normal	True Negative	1
L-glutamic acid	0	0	350	Log Normal	True Negative	1
L-glutamine minor 2	0	0	450	Log Normal	True Negative	1
L-isoleucine	0	0	650	Log Normal	True Negative	1
L-leucine	0	0	400	Log Normal	True Negative	1
L-lysine	0	0	650	Log Normal	True Negative	1
L-methionine	0	0	350	Log Normal	True Negative	1
L-phenylalanine	0	0	250	Log Normal	True Negative	1
L-proline	0.0585	38	650	Log Normal	True Negative	1
L-pyroglutamic acid	0	0	250	Log Normal	True Negative	1
L-serine	0	0	100	Log Normal	True Negative	1
L-threonine	0	0	100	Log Normal	True Negative	1
L-tyrosine major	0	0	850	Log Normal	True Negative	1
L-tyrosine minor	0	0	350	Log Normal	True Negative	1
lactic acid	0	0	100	Log Normal	True Negative	1
oxalic acid	0	0	800	Log Normal	True Negative	1
myristic acid	0	0	500	Log Normal	True Negative	5
2-hydroxybutyric acid	0	0	850	Log Normal	True Negative	5
uracil	0	0	1250	Log Normal	True Negative	5
uric acid 1	0	0	300	Log Normal	True Negative	5
urea	0.8519	1150	1350	Log Normal	True Negative	5
isocitric acid	0	0	400	Log Normal	True Negative	5
galactonic acid	0	0	100	Log Normal	True Negative	5
2-ketocaproic acid	0	0	1300	Log Normal	True Negative	5
glycine-d5 deuterated	0.0425	85	2000	Log Normal	True Negative	5
catechol	0	0	1600	Log Normal	True Negative	5
glyceric acid	0	0	1400	Log Normal	True Negative	5
citramalic acid	0	0	450	Log Normal	True Negative	5
trans-aconitic acid	0	0	450	Log Normal	True Negative	5
fumaric acid	0	0	750	Log Normal	True Negative	5
oleic acid	0	0	250	Log Normal	True Negative	5
hippuric acid 2	0	0	500	Log Normal	True Negative	5
linoleic acid	0.25	50	200	Log Normal	True Negative	5
stearic acid	0.4	100	250	Log Normal	True Negative	5
Creatinine	0	0	600	Log Normal	True Negative	5
D-mannitol	0	0	1700	Log Normal	True Negative	5
